loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2,Not Graduate,No,900662.0,8573635,2,430.0,20306227.0,13484652,1165518,3451949,Rejected
2,5,Not Graduate,No,7756968.0,34210882,20,681.0,2041000.0,8763663,18585308,11147891,Approved
3,4,Graduate,No,863399.0,10485296,14,524.0,1452975.0,9102300,4293208,14212634,Rejected
4,3,Graduate,No,4904250.0,3014636,12,442.0,11243783.0,8523917,9380818,7631454,Approved
5,0,Graduate,No,5752451.0,11260895,4,730.0,25396173.0,15327462,15726541,11288430,Approved
6,0,Graduate,No,1476828.0,28096869,2,688.0,6782288.0,13317049,926210,11166130,Approved
7,0,Not Graduate,No,4364513.0,26617156,20,353.0,4145820.0,11982559,21559217,11405922,Rejected
8,5,Graduate,No,2145853.0,39213663,8,323.0,10401283.0,12945904,17430477,12988019,Rejected
9,3,Not Graduate,No,2876853.0,19927823,8,694.0,12470214.0,17757988,6916533,5933331,Approved
10,4,Not Graduate,No,790246.0,36732799,12,418.0,8410064.0,596098,19340518,11349086,Rejected
11,0,Graduate,Yes,2027346.0,13065189,10,885.0,23931483.0,17772812,8996262,13727430,Approved
12,5,Graduate,No,6560364.0,31235412,18,484.0,28475895.0,13232745,12468692,2571409,Rejected
13,4,Graduate,Yes,6442003.0,7986624,16,491.0,12983983.0,18402972,17318517,13400967,Approved
14,1,Not Graduate,Yes,517332.0,22838132,18,786.0,146669.0,10155578,7032118,4305562,Approved
15,1,Not Graduate,Yes,4616728.0,16118537,20,683.0,23922383.0,18245551,16914826,6062861,Approved
16,1,Graduate,Yes,9424289.0,36131745,14,645.0,11931738.0,10038531,2719857,3507601,Approved
17,1,Not Graduate,Yes,2855687.0,24120636,18,772.0,17941697.0,17779844,24691913,12686144,Approved
18,3,Not Graduate,No,9051986.0,36737552,6,302.0,23563191.0,11941542,21101006,6883831,Rejected
19,2,Graduate,Yes,6255720.0,3282843,18,349.0,16946474.0,17908359,9515254,2649502,Approved
20,1,Graduate,No,5120347.0,30923225,4,803.0,2747843.0,9124341,5850704,5318931,Approved
21,3,Not Graduate,Yes,1497983.0,22988131,18,510.0,1818071.0,6591671,18124021,438597,Rejected
22,0,Not Graduate,No,467587.0,32379245,12,827.0,11671264.0,9981018,5332151,3398911,Approved
23,1,Not Graduate,No,5311006.0,13368653,8,582.0,17459854.0,963379,9526684,14909996,Approved
24,2,Not Graduate,No,4001167.0,11824385,4,678.0,13414443.0,1983366,1102368,1581568,Approved
25,2,Not Graduate,No,5277554.0,36516085,20,625.0,14542324.0,11139260,7083621,9055378,Rejected
26,4,Graduate,No,5874441.0,32037009,6,597.0,2484358.0,8048611,14546196,12130598,Approved
27,1,Not Graduate,No,1392549.0,33788399,10,437.0,23227746.0,3338622,16214638,809334,Rejected
28,3,Not Graduate,Yes,4593135.0,11055035,18,424.0,1313519.0,6825281,650236,11146906,Rejected
29,3,Not Graduate,No,8558409.0,9256278,14,691.0,17279481.0,11949498,6195689,4404111,Approved
30,0,Graduate,No,8838886.0,22280757,6,701.0,28204374.0,17096685,309462,12654541,Approved
31,3,Graduate,No,8737187.0,26416855,8,779.0,18935629.0,17703401,20270182,441569,Approved
32,1,Graduate,No,5178674.0,9955749,4,700.0,4094485.0,7459972,20111142,3274246,Approved
33,0,Graduate,No,3603154.0,5704888,16,869.0,3713900.0,5578411,14936653,3010005,Approved
34,5,Graduate,No,4691839.0,4581385,12,661.0,22991388.0,9779449,13213525,6314574,Approved
35,5,Not Graduate,No,3904187.0,20276385,6,365.0,23882099.0,3915189,12924891,6951832,Rejected
36,4,Not Graduate,No,5887826.0,28010790,10,727.0,20911738.0,17607339,24728520,14981485,Approved
37,1,Graduate,Yes,5295755.0,29215060,10,820.0,15074529.0,970647,21977430,1552384,Approved
38,0,Not Graduate,No,5308364.0,27277744,2,731.0,21422441.0,3348798,14880938,11373456,Approved
39,4,Graduate,No,2145112.0,5031243,10,404.0,12231707.0,5497254,2108452,10134228,Rejected
40,2,Graduate,Yes,8441891.0,31365729,12,388.0,11413362.0,12872587,4654714,12797210,Approved
41,0,Graduate,Yes,9863576.0,10530534,20,900.0,886726.0,10265790,21454024,6669047,Approved
42,2,Not Graduate,No,,11538064,20,305.0,25423502.0,2524936,906303,9000054,Rejected
43,0,Graduate,No,8678761.0,3652530,4,457.0,15876688.0,10352371,5664229,5912442,Approved
44,5,Graduate,Yes,7756484.0,21558699,6,678.0,7397879.0,12859470,7025094,9781474,Approved
45,1,Graduate,No,6739344.0,15855848,20,629.0,23577711.0,9599979,14958267,5209111,Approved
46,3,Not Graduate,Yes,9753109.0,21753338,10,402.0,16115376.0,4551020,324310,6214333,Rejected
47,1,Graduate,No,4404262.0,26066861,6,522.0,15606299.0,18543139,15480216,1953074,Rejected
48,3,Not Graduate,No,7679801.0,32133473,10,701.0,17982255.0,8980809,24603629,4385729,Approved
49,3,Not Graduate,No,1335736.0,15854644,10,844.0,22928433.0,11246747,2304754,13067757,Approved
50,1,Not Graduate,No,8326401.0,10709275,16,808.0,15398115.0,16691460,21096597,14542331,Approved
51,5,Not Graduate,No,6919160.0,34929874,20,483.0,11542032.0,15363843,18044405,12090678,Rejected
52,4,Graduate,No,2065501.0,7877044,18,386.0,27323600.0,10374670,12210090,4368180,Rejected
53,5,Graduate,Yes,2435300.0,8654671,16,880.0,14033662.0,9648665,12059259,13046872,Approved
54,5,Not Graduate,No,9474966.0,3453072,6,679.0,6253473.0,7376924,19999686,8199442,Approved
55,3,Graduate,No,6451565.0,20029537,2,837.0,13425301.0,10349624,17889989,8301164,Approved
56,5,Not Graduate,No,241410.0,5650759,6,712.0,21871969.0,17382461,24507939,3625612,Approved
57,0,Not Graduate,No,2003137.0,21019703,2,817.0,11111068.0,8066414,9984277,4055836,Approved
58,1,Not Graduate,Yes,,5460467,18,594.0,23539035.0,2846240,18802722,14938591,Approved
59,0,Not Graduate,Yes,4622747.0,6007723,6,559.0,4048795.0,14897478,17153648,12262277,Approved
60,1,Not Graduate,Yes,7925792.0,3997624,16,683.0,24484559.0,16187105,911060,5291895,Approved
61,2,Not Graduate,No,7069070.0,34275933,12,603.0,19958666.0,17103113,18213578,3677640,Approved
